priority,name,kind,value,expected_in_sitemap,match_count,status,severity,sample_match_1,sample_match_2,sample_match_3,notes
1,Current Eater 38 London,exact,https://www.eater.com/maps/best-london-restaurants-eater-38,True,1,present,ok,https://www.eater.com/maps/best-london-restaurants-eater-38,,,
2,London Eater map articles,prefix,https://london.eater.com/maps/,True,290,present,ok,https://london.eater.com/maps/10-best-places-restaurants-in-crystal-palace,https://london.eater.com/maps/2019-oscars-the-favourite-food-restaurant-locations-london,https://london.eater.com/maps/autumn-thanksgiving-specials-london-restaurants-2022,
3,Best vegan restaurants London,exact,https://www.eater.com/maps/best-vegan-restaurants-london,True,1,present,ok,https://www.eater.com/maps/best-vegan-restaurants-london,,,
3,Michelin-starred London restaurants,exact,https://www.eater.com/maps/michelin-star-restaurants-london,True,1,present,ok,https://www.eater.com/maps/michelin-star-restaurants-london,,,
3,London where-to-eat map,exact,https://www.eater.com/maps/london-where-to-eat-map,True,1,present,ok,https://www.eater.com/maps/london-where-to-eat-map,,,
3,Old London heat map 1,exact,https://www.eater.com/maps/the-eater-london-heat-map-where-to-eat-right-now,True,1,present,ok,https://www.eater.com/maps/the-eater-london-heat-map-where-to-eat-right-now,,,
3,Old London heat map 2,exact,https://www.eater.com/maps/the-eater-london-heat-map-where-to-eat-right-now-3,True,1,present,ok,https://www.eater.com/maps/the-eater-london-heat-map-where-to-eat-right-now-3,,,
4,London Eater venue pages,regex,^https://london\.eater\.com/venue/\d+/[^/?#]+/?$,True,3919,present,ok,https://london.eater.com/venue/100971/cadet,https://london.eater.com/venue/100972/b-nh-m-hoi-an,https://london.eater.com/venue/100973/thattukada-3,
5,Main Eater venue pages,regex,^https://www\.eater\.com/venue/\d+/[^/?#]+/?$,True,13261,present,ok,https://www.eater.com/venue/100000/congress-bar-cafe,https://www.eater.com/venue/100001/rbf-your-authentic-champagne-bar,https://www.eater.com/venue/100002/isaac-s-bagels,
6,London restaurant guides index,exact,https://london.eater.com/london-restaurant-guides,False,1,present,ok,https://london.eater.com/london-restaurant-guides,,,
7,Best food London neighbourhoods index,exact,https://london.eater.com/best-food-london-neighbourhoods,False,1,present,ok,https://london.eater.com/best-food-london-neighbourhoods,,,
8,Dining out London index,exact,https://london.eater.com/dining-out-london,False,1,present,ok,https://london.eater.com/dining-out-london,,,
9,Where to eat in London index,exact,https://london.eater.com/where-to-eat-in-london,False,1,present,ok,https://london.eater.com/where-to-eat-in-london,,,
10,Coffee shops and cafes London,exact,https://london.eater.com/coffee-shops-cafes-london,False,1,present,ok,https://london.eater.com/coffee-shops-cafes-london,,,
11,Cocktails beer wine London,exact,https://london.eater.com/cocktails-beer-wine,False,1,present,ok,https://london.eater.com/cocktails-beer-wine,,,
12,Michelin stars London restaurants,exact,https://london.eater.com/michelin-stars-london-restaurants,False,1,present,ok,https://london.eater.com/michelin-stars-london-restaurants,,,
13,Openings,exact,https://london.eater.com/openings,False,1,present,ok,https://london.eater.com/openings,,,
14,News,exact,https://london.eater.com/news,False,1,present,ok,https://london.eater.com/news,,,
15,Daily restaurant news London,exact,https://london.eater.com/daily-restaurant-news-london,False,1,present,ok,https://london.eater.com/daily-restaurant-news-london,,,
16,Expansions,exact,https://london.eater.com/expansions,False,1,present,ok,https://london.eater.com/expansions,,,
17,Closings,exact,https://london.eater.com/closings,False,1,present,ok,https://london.eater.com/closings,,,
18,London restaurant chains,exact,https://london.eater.com/london-restaurant-chains,False,1,present,ok,https://london.eater.com/london-restaurant-chains,,,
